NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;IA14;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCRTAR;PCR;TAR;PERC_PCRTAR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
CATALUNYA;GLOBAL;2021-08-25;2021-08-31;No;131.91;0.778817;169.3718;68.4543;5297;1834.1551;88233;53694;4.7540;535;101;82;2166;3131;2384;3170;69896;46932;60444;197840
CATALUNYA;GLOBAL;2021-08-25;2021-08-31;--;;;0.0000;0.0000;262;0.0000;9381;29;1.5383;34;3;0;155;107;140;3;9269;27;1134;1117
CATALUNYA;GLOBAL;2021-08-25;2021-08-31;Si;;;363.1237;133.8573;94;14927.9448;9073;1410;1.5460;40;2;17;71;23;78;23;5653;880;80;141
CATALUNYA;GLOBAL;2021-08-24;2021-08-30;--;;;0.0000;0.0000;275;0.0000;9572;34;1.5279;40;4;0;158;117;140;5;9460;30;1161;1099
CATALUNYA;GLOBAL;2021-08-24;2021-08-30;Si;;;365.9717;142.4014;100;15217.0198;9315;1371;1.5006;36;1;16;79;21;79;21;5773;891;82;161
CATALUNYA;GLOBAL;2021-08-24;2021-08-30;No;140.574;0.788979;178.1725;73.2488;5668;1824.9409;87267;53947;5.1222;556;112;82;2308;3360;2563;3390;69014;47206;60562;201469
CATALUNYA;GLOBAL;2021-08-23;2021-08-29;--;;;0.0000;0.0000;285;0.0000;9847;33;1.5367;46;8;0;165;120;146;4;9732;29;1219;1106
CATALUNYA;GLOBAL;2021-08-23;2021-08-29;Si;;;411.5402;149.5215;105;16300.6949;9959;1488;1.4576;35;1;14;76;29;75;29;6176;959;80;175
CATALUNYA;GLOBAL;2021-08-23;2021-08-29;No;152.544;0.799015;190.9148;79.4649;6149;1838.9238;87400;54896;5.4949;581;112;87;2488;3661;2747;3692;69121;48060;64943;203493
CATALUNYA;GLOBAL;2021-08-22;2021-08-28;No;159.008;0.809797;196.3555;81.8040;6330;1839.8026;87255;55109;5.6388;610;114;93;2528;3802;2778;3828;68943;48209;65384;200171
CATALUNYA;GLOBAL;2021-08-22;2021-08-28;--;;;0.0000;0.0000;289;0.0000;9810;34;1.5630;49;9;1;167;122;147;5;9694;31;1221;1106
CATALUNYA;GLOBAL;2021-08-22;2021-08-28;Si;;;422.9323;152.3695;107;16388.9838;9942;1567;1.4944;35;1;17;77;30;77;30;6171;989;81;174
CATALUNYA;GLOBAL;2021-08-21;2021-08-27;--;;;0.0000;0.0000;306;0.0000;9530;31;1.6845;57;12;1;178;128;155;4;9411;28;1256;1116
CATALUNYA;GLOBAL;2021-08-21;2021-08-27;Si;;;432.9004;190.8179;134;16799.1000;10103;1694;1.9347;39;1;19;99;35;106;35;6236;1052;82;171
CATALUNYA;GLOBAL;2021-08-21;2021-08-27;No;166.14;0.820938;202.3777;85.0736;6583;1849.5467;87324;55794;5.8772;620;122;91;2601;3982;2894;4023;68949;48743;66473;201612
CATALUNYA;GLOBAL;2021-08-20;2021-08-26;No;177.624;0.840337;211.3723;90.7727;7024;1867.8201;87987;56545;6.1904;617;148;96;2728;4296;3028;4323;69363;49385;74358;191829
CATALUNYA;GLOBAL;2021-08-20;2021-08-26;--;;;0.0000;0.0000;326;0.0000;9846;31;1.6392;68;16;1;187;139;155;5;9735;26;1302;1032
CATALUNYA;GLOBAL;2021-08-20;2021-08-26;Si;;;462.8047;215.0262;151;17418.5463;10435;1797;2.0577;39;1;22;111;40;117;40;6478;1152;90;171
CATALUNYA;GLOBAL;2021-08-19;2021-08-25;--;;;0.0000;0.0000;373;0.0000;9899;31;1.8660;66;16;2;211;162;178;5;9781;26;1310;943
CATALUNYA;GLOBAL;2021-08-19;2021-08-25;Si;;;469.9248;223.5702;157;18633.2308;11245;1840;2.0854;42;1;24;108;49;121;50;7002;1198;97;171
CATALUNYA;GLOBAL;2021-08-19;2021-08-25;No;188.206;0.85471;220.1989;96.0066;7429;1894.0284;89486;57074;6.4674;630;132;100;2881;4548;3206;4580;70435;49953;79864;179823
CATALUNYA;GLOBAL;2021-08-18;2021-08-24;--;;;0.0000;0.0000;410;0.0000;9789;36;2.0720;73;19;4;228;182;195;6;9670;31;1406;1096
CATALUNYA;GLOBAL;2021-08-18;2021-08-24;Si;;;469.9248;229.2663;161;18714.3996;11310;1832;2.1431;45;0;30;110;51;121;53;6913;1206;91;156
CATALUNYA;GLOBAL;2021-08-18;2021-08-24;No;199.692;0.863395;231.2870;100.9174;7809;1886.0548;88203;57740;6.8022;662;138;91;3006;4803;3321;4837;69362;50569;82228;166614
CATALUNYA;GLOBAL;2021-08-17;2021-08-23;No;209.873;0.865394;242.5173;104.9236;8119;1897.1559;88289;58513;7.0613;675;140;110;3073;5046;3426;5099;69382;51346;89150;153795
CATALUNYA;GLOBAL;2021-08-17;2021-08-23;--;;;0.0000;0.0000;461;0.0000;9671;34;2.2725;72;18;5;245;216;212;6;9563;30;1481;1075
CATALUNYA;GLOBAL;2021-08-17;2021-08-23;Si;;;496.9810;223.5702;157;19581.6245;11831;1920;1.9350;48;0;35;102;55;110;56;7335;1244;94;141
CATALUNYA;GLOBAL;2021-08-16;2021-08-22;--;;;0.0000;0.0000;475;0.0000;9594;40;2.3107;70;16;5;248;227;213;7;9487;34;1556;1026
CATALUNYA;GLOBAL;2021-08-16;2021-08-22;Si;;;556.7897;262.0186;184;20487.2977;12396;1991;2.1989;50;0;37;128;56;142;57;7741;1309;104;144
CATALUNYA;GLOBAL;2021-08-16;2021-08-22;No;222.533;0.866351;256.8621;111.4499;8624;1911.8883;88484;59458;7.4071;706;139;114;3235;5389;3557;5448;69401;52171;107455;145399
CATALUNYA;GLOBAL;2021-08-15;2021-08-21;No;226.629;0.863233;262.5354;114.5515;8864;1919.8361;88860;59697;7.5615;746;149;119;3277;5587;3609;5625;69701;52418;108507;143505
CATALUNYA;GLOBAL;2021-08-15;2021-08-21;--;;;0.0000;0.0000;488;0.0000;9650;41;2.3285;69;17;4;253;235;217;6;9542;35;1581;1026
CATALUNYA;GLOBAL;2021-08-15;2021-08-21;Si;;;569.6058;270.5627;190;20502.9619;12480;1918;2.2627;57;0;38;129;61;143;62;7795;1265;103;144
CATALUNYA;GLOBAL;2021-08-14;2021-08-20;--;;;0.0000;0.0000;501;0.0000;9757;42;2.4161;67;14;5;264;237;226;8;9649;36;1619;1021
CATALUNYA;GLOBAL;2021-08-14;2021-08-20;Si;;;552.5176;242.0824;170;20742.1964;12629;1937;2.0028;59;0;44;108;62;121;63;7863;1324;104;145
CATALUNYA;GLOBAL;2021-08-14;2021-08-20;No;229.959;0.855164;268.9065;117.3041;9077;1930.7950;89303;60102;7.6366;786;160;125;3318;5759;3597;5783;69992;52838;121591;138170
CATALUNYA;GLOBAL;2021-08-13;2021-08-19;No;236.322;0.840495;281.1706;120.5995;9332;1953.1910;90710;60428;7.8271;829;145;126;3425;5907;3796;5918;70966;53141;132416;139488
CATALUNYA;GLOBAL;2021-08-13;2021-08-19;--;;;0.0000;0.0000;513;0.0000;9807;38;2.4902;64;11;5;266;247;235;7;9684;34;1919;1019
CATALUNYA;GLOBAL;2021-08-13;2021-08-19;Si;;;640.8065;247.7785;174;21298.9861;13031;1926;2.0365;65;0;53;111;63;127;64;8071;1308;125;162
CATALUNYA;GLOBAL;2021-08-12;2021-08-18;No;244.134;0.831072;293.7579;124.1922;9610;1976.2848;92098;60827;7.9820;865;164;127;3506;6104;3926;6111;72236;53510;143759;149287
CATALUNYA;GLOBAL;2021-08-12;2021-08-18;--;;;0.0000;0.0000;506;0.0000;9791;44;2.4671;67;16;4;263;243;230;10;9689;39;2307;1136
CATALUNYA;GLOBAL;2021-08-12;2021-08-18;Si;;;666.4388;246.3545;173;21102.4720;12961;1858;1.9957;75;0;61;112;61;124;61;8002;1268;138;188
CATALUNYA;GLOBAL;2021-08-11;2021-08-17;--;;;0.0000;0.0000;532;0.0000;10081;46;2.5872;75;13;2;280;252;249;10;9969;42;2471;993
CATALUNYA;GLOBAL;2021-08-11;2021-08-17;Si;;;740.4875;240.6584;169;21354.5226;13026;1970;1.8971;74;0;61;106;63;119;62;8219;1322;145;197
CATALUNYA;GLOBAL;2021-08-11;2021-08-17;No;254.76;0.824756;308.8910;130.3695;10088;2001.5756;93805;61077;8.2796;873;166;133;3687;6401;4146;6410;73747;53747;163746;144908
CATALUNYA;GLOBAL;2021-08-10;2021-08-16;No;267.692;0.818704;326.9706;137.5936;10647;2039.1434;95735;62054;8.5322;929;172;130;3941;6706;4379;6705;75297;54611;191215;133569
CATALUNYA;GLOBAL;2021-08-10;2021-08-16;--;;;0.0000;0.0000;535;0.0000;10109;50;2.7224;82;20;1;292;243;265;8;9982;46;2490;978
CATALUNYA;GLOBAL;2021-08-10;2021-08-16;Si;;;786.0560;273.4107;192;22090.7382;13513;2000;2.1255;75;0;61;136;56;152;57;8482;1351;158;200
CATALUNYA;GLOBAL;2021-08-09;2021-08-15;--;;;0.0000;0.0000;569;0.0000;10012;52;2.9026;94;22;2;301;268;276;12;9875;47;2352;951
CATALUNYA;GLOBAL;2021-08-09;2021-08-15;Si;;;803.1442;294.7710;207;22854.0100;14091;1958;2.1886;80;0;66;140;67;157;66;8865;1324;152;186
